title,user ratings,genres,cast
Hypnotic,64.5,"['Mystery', 'Thriller', 'Action', 'Science Fiction']","['Jose Barajas', 'Sonia Izzolena', 'Steve Brudniak', 'Jackie Earle Haley', 'Hala Finley', 'Justin Hall', 'Bonnie Discepolo', 'Jordan Hunter Jones', 'Dayo Okeniyi', 'Patrick A. Grover', 'Ryan Ryusaki', 'Dana Wing Lau', 'J. D. Pardo', ""Gabriel 'G-Rod' Rodriguez"", 'Camila Téllez', 'Ben Affleck', 'Ionie Olivia Nieves', 'Kelly Frye', 'Evan Vines', 'Jeff Fahey', 'Nikki Dixon', 'Bobby Hernandez', 'Corina Calderon', ""Carrick O'Quinn"", 'Zane Holtz', 'William Fichtner', 'Lawrence Varnado', 'Natalie D. Garcia', 'Sandy Avila', 'Derek Russo', 'Georgia Foy', 'Kelly Phelan', 'Alice Braga', 'Ruben Javier Caballero']"
Boudica,61.28999999999999,"['Action', 'War']","['Peter Franzén', 'Olga Kurylenko', 'Rita Tushingham', 'James Faulkner', 'Andy Beckwith', 'Lucy Martin', 'Clive Standen', 'Nick Moran', 'Harry Kirton']"
Indiana Jones and the Dial of Destiny,66.76,"['Adventure', 'Action']","['Aïssam Bouali', 'Billy Postlethwaite', 'Gary Fannin', 'Clara Greco', 'Bryony Miller', 'Niccolo Cancellieri', 'Alaa Safi', 'Mauro Cardinali', 'Thulani Storm', 'Corrado Invernizzi', 'Amedeo Bianchimano', 'Bharat Doshi', 'Christian Sacha Mehja-Stokes', 'Ian Porter', 'Harriet Slater', 'Jill Winternitz', 'Tiwa Lade', 'Chase Brown', 'Edoardo Strano', 'Mads Mikkelsen', 'Gabby Wong', 'Francis Chapman', 'Hicham Ouaraqa', 'William Meredith', 'Guy Paul', 'Johann Heske', 'Angelo Spagnoletti', 'Mohammed R. Kamel', 'Joe Gallina', 'Matthew Staite', 'Joerg Stadler', 'Adil Louchgui', 'Phoebe Waller-Bridge', 'Nicholas Bendall', 'David Mills', 'Brodie Husband', 'Mark Killeen', 'Bruce Lester-Johnson', 'Charles Hagerty', 'Ali Saleh', 'Toby Jones', 'Antonio Banderas', 'Daniel Anderson', 'Thorston Manderlay', 'Amara Khan', 'Eliza Mae Kyffin', 'Harrison Ford', 'Henry Garrett', 'Anthony Ingruber', 'Basil Eidenbenz', 'Nasser Memarzia', 'Aron von Andrian', 'Martin McDougall', 'Douglas Robson', 'Joshua Broadstone', 'Allon Sylvain', 'Cory Peterson', 'Gunnar Cauthery', 'Shaunette Renée Wilson', 'Duran Fulton Brown', 'Nikola Trifunovic', 'Martin Sherman', 'Antonio Iorio', 'John Rhys-Davies', 'Anna Francolini', 'Hannah Onslow', 'Karen Allen', 'Alton Fitzgerald White', 'Alfonso Rosario Mandia', 'Olivier Richters', 'Rhyanna Alexander-Davis', 'Boyd Holbrook', 'Kate Doherty', 'Elena Saurel', 'Angus Yellowlees', 'Holly Lawton', 'Manuel Klein', 'Thomas Kretschmann', 'Adolfo Margiotta', 'Mike Massa', 'Ethann Isidore']"
The Killer,66.50999999999999,"['Crime', 'Thriller']","['Monique Ganderton', 'Erik Hellman', 'Brandon Morales', 'Anna Cosmao', 'Charles Parnell', 'Stéphane Vasseur', 'Lila Espinasse', 'Sacha Beaubier', 'Kellan Rhude', 'Nino Viard', 'Daran Norris', 'Paloma Palacio Colon', 'Claire Patronikn', 'Sara Mezouar', 'Alexandra Holzhammer', 'Marie Bessière', 'Tilda Swinton', 'Arturo Duvergé', 'Jack Kesy', 'Génesis Estévez', 'Emiliano Pernia', 'Michael Fassbender', 'Eric Tolzmann', 'Jérôme Keen', 'François Patissier', 'Tariq Azikiue', 'Sophie Charlotte', 'Cécile Coves', 'Lía Lockhart', ""Kerry O'Malley"", 'Julia Rowley', 'Nikki Dixon', 'Gabriel Polanco', 'Antoine Matichard', 'Carlos Rogelio Diaz', 'Ilyssa Fradin', 'Kyrstal Ortiz', 'Branden Mitch', 'Brett C. Johnson', 'Zacharia Mezouar', 'Endre Hules', 'Sala Baker', 'Kev Morris Sr.', 'Dzianis Chpoutalau', 'Bernard Bygott', 'Leroy Edwards III', 'Arliss Howard', 'Jirus Tillman']"
The Survivor,72.15,"['History', 'Action', 'Drama']","['Vicky Krieps', 'Ben Foster', 'Paul Bates', 'Aaron Serotsky', 'Zachary Golinger', 'Peter Sarsgaard', 'Laurent Papot', 'Amalina Ace', 'Miklós Kapácsy', 'Kristóf Widder', 'Peter Linka', 'Svetlana Kundish', 'Adam Zambryzcki', 'Kingston Vernes', 'Hans Peterson', 'Michael Epp', 'Stephen Saracco', 'John Leguizamo', 'Bálint Magyar', 'Erdei Zsolt', 'Patrick McCullough', 'Saro Emirze', 'Charles Brice', 'Alan Jouban', 'Katia Bokor', 'Billy Magnussen', 'Sonya Cullingford', 'Andrew Hefler', 'Scott Alexander Young', 'Márk Szekulesz', 'Danny DeVito', 'Dar Zuzovsky', 'John Guerrasio', 'Björn Freiberg', 'Nikos Brisco', 'Gábor Czap', 'Erik Contzius', 'András Kovács', 'Sophie Knapp', 'Pablo Raybould', 'Anthony Molinari']"
Nowhere,75.37,"['Thriller', 'Drama']","['Kaabil Sekali', 'Saorla Wright', 'Victoria Teijeiro', 'Edu Bulnes', 'Emma Sánchez', 'Lucia Soria', 'Mariam Torres', 'Irina Bravo', 'Anna Castillo', 'Antonio Buíl', 'Tony Corvillo', 'Said El Mouden', 'Tamar Novas', 'Mary Ruiz']"
Thick as Thieves,59.6,"['Action', 'Thriller', 'Crime']","['Marcel Iureș', 'Stefan Ivanov', 'Ivan Petrushinov', 'Gerrit Vooren', 'Velislav Pavlov', 'Todd Jensen', 'Stefan Shterev', 'Radha Mitchell', 'Antonio Banderas', 'Deyan Donkov', 'Constantine Gregory', 'Joshua Rubin', 'Gary Werntz', 'Vladimir Kolev', 'Victor Boichev', 'Nickolay Hadjiminev', 'Antony Byrne', 'Ariel Llinas', 'Marianne Stanicheva', 'Rade Šerbedžija', 'Daniel Angelov', 'Corey Johnson', 'Darrell Las Quevas', 'Morgan Freeman', 'Atanas Srebrev', 'Assen Blatechki', 'Tom Hardy', 'Charles Venn', 'Robert Forster', 'Harry Anichkin', 'Deobia Oparei', 'Michael Hayden', 'Diana Lyubenova']"
Inside Out,79.22,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['Amy Poehler', 'Paula Pell', 'Frank Oz', 'John Ratzenberger', 'Carlos Alazraqui', 'Paula Poundstone', 'Jess Harnell', 'Veronika Bonell', 'Lori Alan', 'Mindy Kaling', 'Richard Kind', 'Rashida Jones', 'Bobby Moynihan', 'Josh Cooley', 'Gregg Berger', 'Dave Goelz', 'Lewis Black', 'Diane Lane', 'Danny Mann', 'Peter Sagal', 'Kyle MacLachlan', 'Laraine Newman', 'Phyllis Smith', 'John Cygan', 'Bill Hader', 'Kaitlyn Dias', 'Flea']"
One Piece: Episode of Skypiea,71.0,"['Animation', 'Action', 'Adventure', 'Comedy']","['Ennosuke Ichikawa', 'Yuko Minaguchi', 'Hiroaki Hirata', 'Kappei Yamaguchi', 'Hidekatsu Shibata', 'Masami Suzuki', 'Hochu Otsuka', 'Mayumi Tanaka', 'Ikue Otani', 'Rieko Takahashi', 'Yuriko Yamaguchi', 'Reiko Kiuchi', 'Akemi Okamura', 'Toshiyuki Morikawa', 'Naoya Uchida', 'Masaya Takatsuka', 'Kazuya Nakai']"
EXmas,68.0,"['Romance', 'Comedy']","['Leighton Meester', 'Steven Huy', 'Kathryn Greenwood', 'Robbie Amell', 'Michael Hitchcock', 'Veronika Slowikowska']"
