title,user ratings,genres,cast
The Girl with the Dragon Tattoo,73.63000000000001,"['Thriller', 'Crime', 'Mystery']","['Sandra Andreis', 'Mitcho Batalov', 'George Gerdes', 'Peter Haber', 'Christine Adams', 'Joel Kinnaman', 'Ian Kitzmiller', 'Leo Bill', 'Yvonne Åstrand', 'Josefin Asplund', 'Lennart B. Sandelin', 'Simon Reithner', 'Anna Carlson', 'Anne-Li Norberg', 'Laurence Fuller', 'Darri Ingolfsson', 'Anders Jansson', 'Christopher Maleki', 'David Dencik', 'Leah Shaw', 'Karen E. Wright', 'Geraldine James', 'Gustaf Hammarsten', 'Anders Berg', 'Peter Hottinger', 'Sarah Appelberg', 'Moa Garpendal', 'Robin Wright', 'Marco Albrecht', 'Bengt C.W. Carlsson', 'Joely Richardson', 'Annica Bejhed', 'Julian Sands', 'Alan Dale', 'Daniel Craig', 'Fredrik Dolk', 'Martina Lotun', 'Britt Soderberg', 'Andreas Björklund', 'Reza Dehban', 'Eva Fritjofson', 'Christian Heller', 'Shaun R.L. King', 'Joyce Giraud', 'Mathias Palmér', 'Patrick Holland', 'Jürgen Klein', 'Donald Sumpter', 'Maja Kin', 'Sahlima', 'Ulf Friberg', 'Tony Way', 'Pierre Sjö Östergren', 'Melissa Ciesla', 'Yorick van Wageningen', 'Goran Visnjic', 'Tess Panzer', 'Malin Toverud', 'Maya Hansson-Bergqvist', 'Mathilda von Essen', 'Lena Strömdahl', 'Steven Berkoff', 'Yasmine Vine', 'Mats Andersson', 'Jan Abramson', 'Marcus Johansson', 'Per Myrberg', 'Julia Rose', 'Élodie Yung', 'Mike Zehr', 'Anna Björk', 'Embeth Davidtz', 'Stellan Skarsgård', 'Jenifer Brougham', 'Alastair Duncan', 'Martin Jarvis', 'Christopher Plummer', 'Rooney Mara', 'Matthew Wolf', 'Anna Charlotta Gunnarson', 'Arly Jover', 'Amanda Dyar', 'Kalle Josephson', 'Peter Carlberg', 'Werner Biermeier', 'Inga Landgré', 'Bengt Wallgren', 'Henry Hereford']"
Meteor Storm,46.0,"['Science Fiction', 'Adventure', 'TV Movie']","['Jill Morrison', 'Carmen Moore', 'Kirsten Zien', 'Kari Matchett', 'Michael Trucco', 'Brett Dier', 'Emily Holmes', 'Eric Johnson', 'Lara Gilchrist', 'Kevin McNulty']"
Carl's Date,76.24,"['Animation', 'Adventure', 'Family']","['Bob Peterson', 'Ed Asner']"
"Miraculous: Ladybug & Cat Noir, The Movie",78.0,"['Animation', 'Family', 'Fantasy', 'Action', 'Romance']","['Marie Nonnenmacher', 'Jessie Lambotte', 'Antoine Tomé', 'Benjamin Bollen', 'Flora Kaprielian', 'Fanny Bloc', 'Annouck Hautbois', 'Jeanne Chartier', 'Thierry Kazazian', 'Gilbert Levy', 'Marie Chevalot', 'Franck Tordjman', 'Martial Le Minoux', ""Alexandre N'Guyen""]"
Rally Road Racers,75.0,"['Animation', 'Family', 'Comedy']","['Catherine Tate', 'Raza Jaffrey', 'Nick Heath', 'J.K. Simmons', 'Sharon Horgan', 'Lisa Lu', 'Kerry Shale', 'Rebecca Yeo', 'Alexander Rodriguez', 'Jimmy O. Yang', 'Naomi McDonald', 'John Cleese', 'Chloe Bennet']"
Harry Potter and the Prisoner of Azkaban,80.19,"['Adventure', 'Fantasy']","['David Thewlis', 'Violet Columbus', 'Adrian Rawlins', 'Emma Watson', 'Richard Griffiths', 'Pam Ferris', 'Robbie Coltrane', 'David Bradley', 'Abby Ford', 'Paul Whitehouse', 'Julie Walters', 'Michael Gambon', 'Genevieve Gaunt', 'Kandice Morris', 'Danielle Tabor', 'Josh Herdman', 'Lewis Barnshaw', 'Sitara Shah', 'Rupert Grint', 'Tom Ackerley', 'Jamie Waylett', 'Emma Thompson', 'Robert Hardy', 'Ekow Quartey', 'Lee Ingleby', 'Tom Felton', 'Tess Bu Cuarón', 'Gary Oldman', 'Jim Tavaré', 'Jennifer Smith', 'Maggie Smith', 'Alan Rickman', 'Geraldine Somerville', 'Lenny Henry', 'Devon Murray', 'Fiona Shaw', 'Dawn French', 'Warwick Davis', 'Mark Williams', 'Chris Rankin', 'Bonnie Wright', 'Timothy Spall', 'Matthew Lewis', 'Annalisa Bugliani', 'Alfred Enoch', 'Harry Melling', 'Bronson Webb', 'Julie Christie', 'Ian Brown', 'Freddie Davies', 'Jimmy Gardner', 'Daniel Radcliffe', 'James Phelps', 'Ricky Sahota', 'Peter Best', 'Samantha Clinch', 'Oliver Phelps', 'Marianne Chase', 'Sharon Sandhu']"
Sonic the Hedgehog 2,75.53,"['Action', 'Adventure', 'Family', 'Comedy']","['Nilo Ghajar', 'Maria Ameerali', ""Colleen O'Shaughnessey"", ""Ha'a Keaulana"", 'Ashlei Tave', 'Nito Larioza', 'Angela Meryl', 'Andrew Kyrzyk', 'Tammy Nera', 'Katie Wright Pere', 'Adam Pally', 'Rhys Williams', ""Rob 'Sluggo' Boyce"", 'Johnson Phan', 'Simon Chin', 'Steve Chang', 'Eli Olson', 'Robert Zen Humpage', 'Colby Chartrand', 'Fraser Corbett', 'Jim Carrey', 'Tika Sumpter', 'Lee Majdoub', 'Doug Chapman', 'Krista Alvarez', 'Marcus Aurelio', 'Shaun Magee', 'Chad Keaulana', 'Kyle Riefsnyder', 'Tom Butler', 'Stanislav Galimkhanov', 'Jason Triplett', 'Quinn Early', 'Leif Havdale', 'Alex Bogomolov', 'Paul Lazenby', 'Don Lew', 'Donna Jay Fulks', 'Mike Rufino', 'James Marsden', 'Brad Kalilimoku', 'Scott Patey', 'Shay Kuebler', 'Elizabeth Bowen', 'Natasha Rothwell', 'Vladimir Raiman', 'Saida Dyson', 'Ted Barba', 'Barry Nerling', 'David Jacox', 'Tavita Woodard', 'Keiran Bohay', 'Brennan Dyson', 'Parker Rowell-Laferriere', 'Melody Nosipho Niemann', 'Heath Stevenson', 'Vladimir Ruzich', 'Kevin Mylrea', 'Kevin Fortin', 'Sook Hexamer', 'Idris Elba', 'Cheryl Lewis', 'Jared Khalifa', 'Sarah Surh', 'Jess Lundgren', 'Gerald Paetz', 'Ben Schwartz', 'Ernie Jackson', 'Mike Mitchell', 'Yvetta Fisher', 'Aiden Cass', 'Shawn Stewart', 'Corry Glass', 'Mariah Dyson', 'Adrian Hein', 'Shemar Moore', 'Jeff Sanca']"
57 Seconds,57.69,"['Thriller', 'Science Fiction', 'Action']","['Griff Furst', 'Bevin Bru', 'Curtis Johnson', 'Mary Drew Ahrens', 'Lovie Simone', 'Demitri Lucien', 'Kenneth Kynt Bryan', 'Daniel Rivas', 'Allen Boudreaux', 'Nirvi Shah', 'Jaida Standberry', 'Lucius Baston', 'Morgan Melder', 'David Blane', 'Morgan Freeman', 'Valerie E. Lamb', 'Josh Hutcherson', 'Aaron Jay Rome', 'Greg Germann', 'Thomas P. Vitale', 'Jeff Chase', 'Dickson Obahor', 'Tre Francis', 'Sammi Rotibi', 'Marcus Brown', 'Mark Jacobson', 'Rusty Cundieff', 'Matthew Jayson Cwern', 'Jennifer Dent']"
Killers of the Flower Moon,76.94,"['Crime', 'Drama', 'History']","['Robert De Niro', 'Elden Henson', 'Moe Headrick', 'Dana Daylight', 'Chris Byars', 'Jezy Gray', 'Samuel Gray', 'Zack T. Morris', 'Rayna Gellert', 'Brett Bower', 'Everett Waller', 'Talon Satepauhoodle', 'Leland Prater', 'DJ Whited', 'Lux Britni Malaske', 'Ron McMahan', 'Desireee Storm Brave', 'Jennifer Moses', 'Jesse Plemons', 'Martin Scorsese', 'Reignen Yellowfish', 'Jacob Johnson', 'Easton Wade Yellowfish', 'Joe Chrest', 'Dolan Wilson', 'Shonagh Smith', 'Marc Phaneuf', 'Cherylyn Oberly Satepauhoodle', 'James Healy Jr.', 'Peter Yarin', 'Scott George', 'Michael Abbott Jr.', 'Brent Langdon', 'JaNae Collins', 'Jerry Wolf', 'Jessica Harjo', 'Jay Paulson', 'Brian Shoop', 'Delani Chambers', 'Father Chris Daigle', 'Kristin Keith', 'Jerry Logsdon', 'David Fields', 'Mike Cook', 'Joseph Spinelli', 'Ed Yellowfish', 'Norris Bighorse', 'Jeremy Goodvoice', 'Moira Redcorn', 'James Carroll', 'D. Reride Smith', 'Brendan Fraser', 'Chase Parker', 'Jarad Looper', 'Louis Cancelmi', 'Jeffrey Stevenson', 'Addie Roanhorse', 'Welker White', 'Silas Satepauhoodle', 'River Rhoades', 'Eric Parkinson', 'Scott Bighorse', 'Nicholas White', 'Paul Woodiel', 'Bravery Nowlin', 'Joe Boga', 'Mason Bighorse', 'Vinny Raniolo', 'Michael Paul Pahsetopah', 'Vince Giordano', 'Gary S. Pratt', 'Larry Fessenden', 'Lily Gladstone', 'James Roman Dailey Jr.', 'William Belleau', 'Margaret Gray', 'John Lithgow', 'Stephen Berkman', 'Mamie Cozad', 'Peter Reardon-Anderson', 'Steve Eastin', 'John Gibbs', 'Barry Corbin', 'Sarah Spurger', 'Harrison Shackelford', 'Charlie Musselwhite', 'Norma Jean', 'Tracey Ann Moore', 'Beau Smith', 'Danny Frost', 'Gary Basaraba', 'Mahada Sanders', 'Francis Pipestem Jr.', 'Tatanka Means', 'Paul Bighorse', 'Elijah Cemp Ragsdale', 'Ben Hall', 'Christopher Cote', 'Gabriel Casdorph', 'Erica Pretty Eagle Moore', 'Kinsleigh McNac', 'Jack White', 'Joshua Close', 'Tom Ashmore', 'Gregory Fallis', 'Elizabeth Waller', 'Cara Jade Myers', 'Matt Tolentino', 'Jenny Paige Lynn', 'Wahwastoas J. Jones', 'Nick W. Nicholson', 'Sam Bardfeld', 'Sturgill Simpson', 'Jo Harvey Allen', 'Kieran Kane', 'Seth Buckminster', 'Ty Mitchell', 'Nathalie Standingcloud', 'Leonardo DiCaprio', 'J. C. MacKenzie', 'Will Reardon-Anderson', 'Jennifer Rader', 'Myron F. Red Eagle', 'Dolores Marie Goodeagle', 'Kyle Dillingham', 'John Shaw', 'Alexandria Toineeta', 'Angela Pratt', 'Nathaniel Arcand', 'Mary Buss', 'Gene Jones', 'Anna L. Bighorse', 'Victor McCay', 'Lucas Ross', 'Adam Washington', 'Justin France', 'Jacob Lux', 'Tommy Schultz', 'Elisha Pratt', 'Katherine Willis', 'Alexis Ann', 'Marvin E. Stepson Jr.', 'Melissa Tiger', 'Jason Isbell', 'John Q. Wilson', 'Johnny Baier', 'William Alyn Hill', 'Ted Welch', 'Edward Gray Sr.', 'Chance Rush', 'Rob Fisher', 'Mark Lopeman', 'Anthony J. Harvey', 'Paul Wells', 'Taveah Ann George', 'Larry Jack Dotson', 'Yancey Red Corn', 'Margaret Shannon-Sisk', 'Tanner Brantley', 'Dobbin Monoessy Knifechief', 'Tantoo Cardinal', 'Julia Lookout', 'Lynette Satepauhoodle', 'Vanessa Rose Pham', 'Candice Costello', 'Nokosee Fields', 'Christopher Hill', 'Andy Stein', 'Vann Bighorse', 'Zachary Hokeah', 'Marko Costanzo', 'Steve Witting', 'Steve Routman', 'Samuel French', 'Mason Cunningham', 'Joel Tallchief Lemon', 'Karen Garlitz', 'Alexis Waller', 'Mark Landon Smith', 'Jackie Wyatt', 'Wally Welch', 'Scott Shepherd', 'Pete Yorn', 'Richard Lookout RulingHisSun', 'Garrison Panzer', 'Carl Palmer', 'Edward Gray Jr.', 'TJ Muller', 'Joey Oglesby', 'Kenneth Bighorse Jr.', 'Henry Amos Gray', 'Randy Houser', 'Charisse Satepauhoodle', 'Tahlee Redcorn', 'Larry Sellers', 'David Born', 'Lee Eddy', 'Clint Rohr', 'Angela Toineeta Satepauhoodle', 'Blaine Hall', 'Patrick Bubert', 'Bronson Redeagle', 'Penny Potts', 'Jon-Erik Kellso', 'Jillian Dion', 'Xavier Toehay', 'Pat Healy', 'Roanin Davis', 'Jim Fryer', 'Terry Allen']"
Top Gun: Maverick,82.47999999999999,"['Action', 'Drama']","['Norman Ralph Eliasen', 'Charles Parnell', 'Shannon Kane', 'Rachel Winfree', 'Anthony Edwards', 'Monica Barbaro', 'Tristan Henry', 'Whylip Lee', 'Jason Robert Boles', 'Jack Schumacher', 'Stephanie Andrea Barron', 'Bashir Salahuddin', 'Landon Gordon', 'Bob Stephenson', 'Margaret Strabala', 'Brian Ferguson', 'Jake Picking', 'Austin Bowerman', 'Alec Williams', 'Raymond Lee', 'Miles Teller', 'Lyliana Wray', 'Kelly McGillis', 'Danny Ramirez', 'Peter Mark Kendall', 'Lewis Pullman', 'Glen Powell', 'Chido Nwokocha', 'Jon Hamm', 'Meg Ryan', 'Jay Ellis', 'Val Kilmer', 'Rachael Markarian', 'Chelsea Harris', 'Jennifer Connelly', 'Tom Cruise', 'Greg Tarzan Davis', 'Manny Jacinto', 'Kara Wang', 'Ian Gary', 'Ryan Heilmann', 'Shantel Limbo', 'James Handy', 'Chaz Ingram', 'Ed Harris', 'Jean Louisa Kelly', 'Darnell Kirkwood']"
