title,user ratings,genres,cast
Hypnotic,64.55,"['Mystery', 'Thriller', 'Action', 'Science Fiction']","['Ruben Javier Caballero', 'Dana Wing Lau', 'Derek Russo', 'Sonia Izzolena', 'Steve Brudniak', 'Corina Calderon', 'Camila Téllez', 'Evan Vines', 'Natalie D. Garcia', 'Nikki Dixon', 'Patrick A. Grover', 'Georgia Foy', 'Ben Affleck', 'Jordan Hunter Jones', 'Bonnie Discepolo', 'Bobby Hernandez', ""Gabriel 'G-Rod' Rodriguez"", 'Kelly Frye', 'Justin Hall', 'Alice Braga', 'Ryan Ryusaki', 'J. D. Pardo', 'Jose Barajas', 'Sandy Avila', 'Jackie Earle Haley', 'William Fichtner', 'Jeff Fahey', 'Kelly Phelan', 'Ionie Olivia Nieves', 'Dayo Okeniyi', 'Zane Holtz', 'Lawrence Varnado', 'Hala Finley', ""Carrick O'Quinn""]"
Boudica,61.28999999999999,"['Action', 'War']","['Clive Standen', 'Harry Kirton', 'Lucy Martin', 'James Faulkner', 'Peter Franzén', 'Andy Beckwith', 'Olga Kurylenko', 'Rita Tushingham', 'Nick Moran']"
Indiana Jones and the Dial of Destiny,66.76,"['Adventure', 'Action']","['Ali Saleh', 'Antonio Banderas', 'Nikola Trifunovic', 'Daniel Anderson', 'Harriet Slater', 'Niccolo Cancellieri', 'Harrison Ford', 'Mike Massa', 'Jill Winternitz', 'Henry Garrett', 'Adolfo Margiotta', 'Adil Louchgui', 'Aïssam Bouali', 'Allon Sylvain', 'Ethann Isidore', 'Tiwa Lade', 'Angus Yellowlees', 'Manuel Klein', 'Cory Peterson', 'Gabby Wong', 'Matthew Staite', 'Thorston Manderlay', 'Basil Eidenbenz', 'Thulani Storm', 'Rhyanna Alexander-Davis', 'Billy Postlethwaite', 'Nicholas Bendall', 'Martin McDougall', 'Alton Fitzgerald White', 'Chase Brown', 'Alfonso Rosario Mandia', 'Thomas Kretschmann', 'Angelo Spagnoletti', 'Antonio Iorio', 'Mark Killeen', 'Anthony Ingruber', 'Gunnar Cauthery', 'Boyd Holbrook', 'Gary Fannin', 'Joe Gallina', 'Duran Fulton Brown', 'Toby Jones', 'Hannah Onslow', 'Johann Heske', 'Martin Sherman', 'Joerg Stadler', 'Mads Mikkelsen', 'Bruce Lester-Johnson', 'Karen Allen', 'Bharat Doshi', 'Mauro Cardinali', 'Clara Greco', 'Kate Doherty', 'Amedeo Bianchimano', 'Christian Sacha Mehja-Stokes', 'Holly Lawton', 'Joshua Broadstone', 'Amara Khan', 'Olivier Richters', 'John Rhys-Davies', 'Eliza Mae Kyffin', 'Shaunette Renée Wilson', 'Phoebe Waller-Bridge', 'Ian Porter', 'Corrado Invernizzi', 'David Mills', 'Brodie Husband', 'Guy Paul', 'Charles Hagerty', 'Aron von Andrian', 'Douglas Robson', 'Anna Francolini', 'Elena Saurel', 'Alaa Safi', 'Mohammed R. Kamel', 'Edoardo Strano', 'Bryony Miller', 'William Meredith', 'Nasser Memarzia', 'Francis Chapman', 'Hicham Ouaraqa']"
The Killer,66.57,"['Crime', 'Thriller']","['Erik Hellman', 'Carlos Rogelio Diaz', 'Brandon Morales', 'Claire Patronikn', 'Leroy Edwards III', 'Arliss Howard', 'Eric Tolzmann', 'Michael Fassbender', 'Cécile Coves', 'Zacharia Mezouar', 'Sophie Charlotte', 'Tilda Swinton', 'Génesis Estévez', 'Bernard Bygott', 'Gabriel Polanco', 'Sacha Beaubier', 'Jirus Tillman', 'Stéphane Vasseur', 'Sara Mezouar', 'Nikki Dixon', 'Marie Bessière', 'Branden Mitch', 'Paloma Palacio Colon', 'Kev Morris Sr.', 'Tariq Azikiue', 'Nino Viard', 'Emiliano Pernia', 'Dzianis Chpoutalau', 'Monique Ganderton', 'Kyrstal Ortiz', 'Lila Espinasse', 'Sala Baker', 'Lía Lockhart', 'Alexandra Holzhammer', 'Arturo Duvergé', 'Jack Kesy', 'Antoine Matichard', 'Anna Cosmao', ""Kerry O'Malley"", 'Jérôme Keen', 'Kellan Rhude', 'Daran Norris', 'Charles Parnell', 'Julia Rowley', 'Brett C. Johnson', 'Ilyssa Fradin', 'Endre Hules', 'François Patissier']"
The Survivor,72.15,"['History', 'Action', 'Drama']","['Peter Linka', 'Alan Jouban', 'Svetlana Kundish', 'András Kovács', 'Andrew Hefler', 'Sophie Knapp', 'Scott Alexander Young', 'Peter Sarsgaard', 'Vicky Krieps', 'Adam Zambryzcki', 'Ben Foster', 'Kingston Vernes', 'Márk Szekulesz', 'Bálint Magyar', 'Dar Zuzovsky', 'Zachary Golinger', 'Amalina Ace', 'Nikos Brisco', 'John Leguizamo', 'Saro Emirze', 'Erik Contzius', 'Aaron Serotsky', 'Charles Brice', 'Gábor Czap', 'Paul Bates', 'Patrick McCullough', 'Björn Freiberg', 'Billy Magnussen', 'Miklós Kapácsy', 'Anthony Molinari', 'Pablo Raybould', 'Laurent Papot', 'Stephen Saracco', 'Sonya Cullingford', 'Hans Peterson', 'Michael Epp', 'Katia Bokor', 'John Guerrasio', 'Kristóf Widder', 'Erdei Zsolt', 'Danny DeVito']"
Nowhere,75.37,"['Thriller', 'Drama']","['Victoria Teijeiro', 'Tamar Novas', 'Tony Corvillo', 'Mary Ruiz', 'Irina Bravo', 'Kaabil Sekali', 'Antonio Buíl', 'Anna Castillo', 'Edu Bulnes', 'Emma Sánchez', 'Said El Mouden', 'Saorla Wright', 'Mariam Torres', 'Lucia Soria']"
Thick as Thieves,59.6,"['Action', 'Thriller', 'Crime']","['Victor Boichev', 'Gerrit Vooren', 'Antonio Banderas', 'Stefan Ivanov', 'Robert Forster', 'Constantine Gregory', 'Deyan Donkov', 'Darrell Las Quevas', 'Antony Byrne', 'Velislav Pavlov', 'Morgan Freeman', 'Todd Jensen', 'Harry Anichkin', 'Marcel Iureș', 'Nickolay Hadjiminev', 'Joshua Rubin', 'Michael Hayden', 'Marianne Stanicheva', 'Ariel Llinas', 'Assen Blatechki', 'Rade Šerbedžija', 'Tom Hardy', 'Vladimir Kolev', 'Stefan Shterev', 'Gary Werntz', 'Corey Johnson', 'Atanas Srebrev', 'Daniel Angelov', 'Radha Mitchell', 'Diana Lyubenova', 'Ivan Petrushinov', 'Deobia Oparei', 'Charles Venn']"
Inside Out,79.22,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['Richard Kind', 'Kaitlyn Dias', 'Josh Cooley', 'Peter Sagal', 'Lori Alan', 'John Ratzenberger', 'Flea', 'Paula Poundstone', 'Rashida Jones', 'Phyllis Smith', 'Veronika Bonell', 'Lewis Black', 'Laraine Newman', 'Frank Oz', 'Diane Lane', 'Kyle MacLachlan', 'Bobby Moynihan', 'Paula Pell', 'Amy Poehler', 'Dave Goelz', 'Carlos Alazraqui', 'Danny Mann', 'Bill Hader', 'Mindy Kaling', 'John Cygan', 'Gregg Berger', 'Jess Harnell']"
One Piece: Episode of Skypiea,71.0,"['Animation', 'Action', 'Adventure', 'Comedy']","['Kappei Yamaguchi', 'Akemi Okamura', 'Masami Suzuki', 'Hidekatsu Shibata', 'Mayumi Tanaka', 'Ennosuke Ichikawa', 'Hochu Otsuka', 'Masaya Takatsuka', 'Rieko Takahashi', 'Kazuya Nakai', 'Toshiyuki Morikawa', 'Naoya Uchida', 'Reiko Kiuchi', 'Ikue Otani', 'Yuko Minaguchi', 'Yuriko Yamaguchi', 'Hiroaki Hirata']"
EXmas,68.0,"['Romance', 'Comedy']","['Kathryn Greenwood', 'Veronika Slowikowska', 'Michael Hitchcock', 'Leighton Meester', 'Robbie Amell', 'Steven Huy']"
Texas Chainsaw 3D,55.0,"['Horror', 'Thriller']","['Gunnar Hansen', 'Sue Rock', 'Edwin Neal', 'Paul A. Partain', 'Paul Rae', 'Keram Malicki-Sánchez', 'Nikolette Noel', 'Thom Barry', 'Richard Riehle', 'Marilyn Burns', 'William Vail', 'Veleka Gray', 'Shaun Sipos', 'Brandon Noack', 'Sarah Dandashy', 'Allen Danziger', 'James MacDonald', 'Scott Eastwood', 'John Dugan', 'Elena Sanchez', 'Roni Hummel', 'Tania Raymonde', 'Jonathan Darden Reed', 'Kari J. Kramer', 'Teri McMinn', 'Bill Moseley', 'Juliet Reeves London', 'Dodie Brown', 'Trey Songz', 'Alexandra Daddario', 'Sam McKinzie', 'Dan Yeager', 'Tori London']"
Space Wars: Quest for the Deepstar,34.5,"['Science Fiction', 'Adventure', 'Action']","['Anahit Setian', 'Sadie Katz', 'Rachele Brooke Smith', 'Tyler Gallant', 'Lamont Couch', 'O.G. Silverback', 'Wes Hubbard', 'Sarah French', 'Michael Paré', 'Elise Muller', 'Olivier Gruner', 'Miranda Cover', 'Jed Rowen']"
Thriller Night,69.0,['Animation'],"['Jerry Clarke', 'Brentley Gore', 'Cody Cameron', 'Sean Bishop', 'Mark McCracken', 'Michael Gough', 'Dean Edwards', 'Holly Fields', 'André Sogliuzzo', 'Walt Dohrn', 'Pinky Turzo', 'Bobby Kimball', 'Conrad Vernon']"
How the Grinch Stole Christmas,67.44,"['Family', 'Comedy', 'Fantasy']","['Verne Troyer', 'Rance Howard', 'Bill Sturgeon', 'Grainger Esch', 'Jessica Sara', 'Mindy Sterling', 'Rain Pryor', 'T.J. Thyne', 'Jeremy Howard', 'Josh Ryan Evans', 'Nadja Pionilla', 'Jim Meskimen', 'James Ritz', 'Steve Kehela', 'Clint Howard', 'Lillias White', 'Michael Dahlen', 'Mason Lucero', 'Landry Allbright', 'Jim Carrey', 'Anthony Hopkins', 'Christine Baranski', 'John Alexander', 'David Costabile', 'Gavin Grazer', 'Jeffrey Tambor', 'Kevin Isola', 'Rachel Winfree', 'Taylor Momsen', 'Reid Kirchenbauer', 'Caroline Williams', 'Ben Bookbinder', 'Eva Burkley', 'Michaela Gallo', 'Clayton Martinez', 'Bryce Dallas Howard', 'Jurgen Heimann', 'Mark Setrakian', 'Bill Irwin', 'Deep Roy', 'Rick Baker', 'Frank Welker', 'John Short', 'Tim Blaney', 'Walter Franks', 'Molly Shannon', ""Q'orianka Kilcher"", 'Lacey Kohl', 'Rebecca Chace', 'Charles Croughwell', 'Suzanne Krull', 'Mary Stein']"
Aquaman and the Lost Kingdom,0.0,"['Action', 'Adventure', 'Fantasy']","['Temuera Morrison', 'Nicole Kidman', 'Jason Momoa', 'Jani Zhao', 'Indya Moore', 'Vincent Regan', 'Randall Park', 'Yahya Abdul-Mateen II', 'Dolph Lundgren', 'Patrick Wilson', 'Amber Heard', 'Pilou Asbæk']"
Teen Titans: Trouble in Tokyo,77.03999999999999,"['Animation', 'Action', 'Science Fiction', 'TV Movie']","['Cary-Hiroyuki Tagawa', 'Keone Young', 'Janice Kawaye', 'Khary Payton', 'Tara Strong', 'Robert Ito', 'Yuri Lowenthal', 'Scott Menville', 'Greg Cipes', 'Hynden Walch']"
