title,user ratings,genres,cast
The Hunger Games: Mockingjay - Part 1,68.03,"['Science Fiction', 'Adventure', 'Thriller']","['Jada Taylor', 'Rus Blackwell', 'Marshall Choka', 'Donald Sutherland', 'Jeffrey Wright', 'Philip Seymour Hoffman', 'Elizabeth Banks', 'Stevie Ray Dallimore', 'Breann Couch', 'Jackson Mizell', 'Julianne Moore', 'Mahershala Ali', 'Charles White Jr.', 'Katie Sawhill', 'Jennifer Lawrence', 'Donna Biscoe', 'Gregory Fears', 'Willow Shields', 'Natalie Dormer', 'Evan Ross', 'Nicholas Pryor', 'Patina Miller', 'Angel Giuffria', 'Jenique Bennett', 'Brayden Patterson', 'Michael Garza', 'Stanley Tucci', 'Tyler Lee Allen', 'Woody Harrelson', 'Josh Hutcherson', 'Charles Kronmuller', 'Jordan Woods-Robinson', 'Elden Henson', 'Wes Chatham', 'Paula Malcomson', 'William Frasca', 'Erika Bierman', 'Molly Evensen', 'Jasmine Ahnie', 'Sarita Choudhury', 'Stef Dawson', 'Sam Claflin', 'Caitlin Fowler', 'Jena Malone', 'Emma Elle Roberts', 'Robert Knepper', 'Joe Crosson', 'Ryan DeLaney', 'Liam Hemsworth', 'Jennifer Cocker']"
Babylon A.D.,56.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Michelle Yeoh', 'Joel Kirby', 'Mark Strong', 'David Gasman', 'Mélanie Thierry', 'Charlotte Rampling', 'Lemmy Constantine', 'Abraham Belaga', 'Pete Thias', 'Vin Diesel', 'Gérard Depardieu', 'Curtis Matthew', 'Lambert Wilson', 'Souleymane Dicko', 'David Belle', 'Jérôme Le Banner', 'Gary Cowan', 'Jan Unger', 'Radek Brůna']"
Muzzle,66.63,"['Action', 'Crime', 'Drama', 'Thriller']","['Leon Walker', 'David Pittinger', 'Diego Tinoco', 'Penelope Mitchell', 'Nick Searcy', 'Luis Chávez', 'Delissa Reynolds', 'Stephen Lang', 'Nicole Cornelius', 'Aaron Eckhart', 'Joseph Sanchez', 'Danielle Munday', 'Grainger Hines', 'Gonzalo Robles', 'Leslie Black', 'Victor Keye', 'George Avgoustis']"
Puss in Boots: The Last Wish,82.62,"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'Family', 'Action']","['Paul Fisher', 'Natalia Cronembold', 'Antonio Banderas', 'Kevin McCann', 'Bernardo de Paula', 'Artemis Pebdani', 'Salma Hayek Pinault', ""Da'Vine Joy Randolph"", 'Conrad Vernon', 'Kailey Crawford', 'Heidi Gardner', 'James Ryan', 'Samson Kayo', 'Miguel Matrai', 'Ray Winstone', 'Al Rodrigo', 'John Mulaney', 'Pilar Uribe', 'Olivia Colman', 'Januel Mercado', 'Aydrea Walden', 'Cody Cameron', 'Florence Pugh', 'Joel Crawford', 'Wagner Moura', 'Anthony Mendez', 'Bob Persichetti', 'Harvey Guillén', 'Betsy Sodaro']"
My Fault,81.0,"['Drama', 'Romance']","['Pablo Riguero', 'Jonatan Ruiz', 'Noah Casas', 'Mónica Caballero', 'Eva Ruiz', 'Lucas Nabor', 'Jaime Ordóñez', 'Mariano Venancio', 'Eve Ryan', 'Víctor Varona', 'Fran Berenguer', 'Marta Hazas', 'Nicole Wallace', 'Gabriel Guevara', 'Adriana Ubani', 'Iván Sánchez', 'Daniel Martínez', 'Anastasia Russo', 'Iván Massagué', 'Antonio Hernandez Fimia', 'Jon Rod', 'Jaime Gutiérrez', 'Paloma Catalán', 'Mariano Andres', 'Alvaro Navarro', 'Rocío Peláez']"
Teenage Mutant Ninja Turtles: Mutant Mayhem,73.12,"['Animation', 'Comedy', 'Action', 'Science Fiction']","['Shamon Brown Jr.', 'Ice Cube', 'Paul Rudd', 'Derek Wilson', 'Jackie Chan', 'Dempsey Pappion', 'Danny Mastrogiorgio', 'Michael Badalucco', 'Greg Levitan', 'David Faustino', 'Lukas Williams', 'Myra Owyang', 'Kyler Spears', 'Kevin Eastman', 'Bobby Wagner', 'Micah Abbey', 'Natalie Canizares', 'Alex Hirsch', 'Natasia Demetriou', 'Brady Noon', 'Jeff Rowe', 'John Capodice', 'Nicolas Cantu', 'Ayo Edebiri', 'Andia Winslow', 'Illya Quinteros', 'Jimmy Donaldson', 'Rose Byrne', 'Giancarlo Esposito', 'Post Malone', 'Maya Rudolph', 'John Cena', 'Hannibal Buress', 'Raechel Wong', 'Noel Gibson', 'Seth Rogen', 'Mike Rianda']"
Avengers: Infinity War,82.53,"['Adventure', 'Action', 'Science Fiction']","['Letitia Wright', 'William Hurt', 'Marie Mouroum', 'Chris Evans', 'Danai Gurira', 'Winston Duke', 'Chadwick Boseman', 'Harrison Osterfield', 'Stephen McFeely', 'Don Cheadle', 'Stan Lee', 'Tom Hiddleston', 'Bradley Cooper', 'Ethan Dizon', 'Gary Peebles', 'Terry Notary', 'Isabella Amara', 'Ariana Greenblatt', 'Kerry Condon', 'Ross Marquand', 'Tom Vaughan-Lawlor', 'Zoe Saldaña', 'Tiffany Espensen', 'Sebastian Stan', 'Carrie Coon', 'Blair Jasin', 'Peter Dinklage', 'Monique Ganderton', 'Paul Bettany', 'Matthew Zuk', 'Josh Brolin', 'Pom Klementieff', 'Olaniyan Thurmon', 'Michael James Shaw', 'Precious Jenkins', 'Jacob Batalon', 'Mark Ruffalo', 'Elizabeth Olsen', 'Laura Miller', 'Samuel L. Jackson', 'Bobby James', 'Idris Elba', 'Anthony Mackie', 'Robert Downey Jr.', 'Vin Diesel', 'Kenneth Branagh', 'Sean Gunn', 'Tom Holland', 'Zola Williams', 'Cobie Smulders', 'James Siderits', 'Benedict Wong', 'Chris Hemsworth', 'Dave Bautista', 'Aaron Lazar', 'Gwyneth Paltrow', 'Ameenah Kaplan', 'Scarlett Johansson', 'Robert Pralgo', 'Karen Gillan', 'Florence Kasumba', 'Chris Pratt', 'Marija Abney', 'Benicio del Toro', 'Benedict Cumberbatch', 'Michael Anthony Rogers']"
Mavka: The Forest Song,72.85,"['Animation', 'Adventure', 'Family', 'Fantasy']","['Olena Kravets', 'Nataliia Denysenko', 'Oleh Skrypka', 'Artem Pyvovarov', 'Kateryna Osadcha', 'Khrystyna Soloviy', 'Serhii Prytula', 'Kateryna Kukhar', 'Julia Sanina', 'Andrii Mostrenko', 'Nazar Zadniprovskyi', 'Nataliia Sumska', 'DakhaBrakha', 'Nina Matviienko', 'Oleh Mykhailiuta', 'Mykhailo Khoma']"
The Locksmith,58.66,"['Mystery', 'Thriller', 'Action', 'Crime', 'Drama']","['Kaylee Bryant', 'Tom Wright', 'Jeffrey Nordling', 'Gabriela Quezada Bloomgarden', 'Emily Rose David', 'Madeleine Guilbot', 'Kate Bosworth', 'Livia Treviño', 'Bourke Floyd', 'Charlie Weber', 'Ryan Phillippe', 'Ving Rhames', 'Noel Gugliemi']"
Megalomaniac,62.0,"['Horror', 'Mystery', 'Thriller']","['Olivier Picard', 'Eline Schumacher', 'Wim Willaert', 'Pierre Nisse', 'Benjamin Ramon', 'Catherine Jandrain', 'Raphaëlle Lubansu', 'Quentin Lasbazeilles']"
The Lake,57.95,"['Horror', 'Science Fiction', 'Thriller']","['Manatsanan Keyata', 'Jinsheng Zang', 'Jack Su', 'Unruean Rachot', 'Ren Youxan', 'Thanachat Tullayachat', 'Wanmai Chatborirak', 'Chartchai Ketnust', 'Supansa Wedkama', 'Somphong Kunapratom', 'Jirayu Thongnoom', 'Vithaya Pansringarm', 'Palita Chueasawathee', 'Amnaj Wajaon', 'Xu Qian', 'Visarut Ritlert', 'Sushar Manaying', 'Theerapat Sajakul']"
Uri: The Surgical Strike,71.69,"['Action', 'Drama', 'War']","['Abrar Zahoor', 'Ujjwal Chopra', 'Swaroop Sampat', 'Adarsh Gautam', 'Kirti Kulhari', 'Rajit Kapoor', 'Dhairya Karwa', 'Paresh Rawal', 'Manish Sharma', 'Manasi Parekh', 'Mohit Raina', 'Raj Babbar', 'Akashdeep Arora', 'Riva Arora', 'Satyajit Sharma', 'Ivan Rodrigues', 'Navtej Hundal', 'Shishir Sharma', 'Yami Gautam', 'Vicky Kaushal', 'Vitor Campos Miguel Neves', 'Manish Chaudhary', 'Yogesh Soman', 'Aritro Rudraneil Banerjee', 'Ajit Shidhaye', 'Rakesh Bedi', 'Rukhsar Rehman']"
Believer 2,69.85000000000001,"['Crime', 'Action', 'Thriller']","['Yang Ik-june', 'Park Hae-jun', 'Cha Seung-won', 'Lee Sang-hee', 'Kim Dong-young', 'Kang Seung-hyun', 'Cho Jin-woong', 'Choi Gwang-il', 'Tzi Ma', 'Jo Han-chul', 'Oh Seung-hoon', 'Jun Suk-ho', 'Han Hyo-joo', 'Lee Joo-young', 'Jung Jun-won', 'Byun Yo-han']"
After Everything,70.37,"['Romance', 'Drama']","['José Roquete', 'Carmen Santos', 'Paul S. Tracey', 'Ella Martine', 'Harrison Osterfield', 'Carter Jenkins', 'Mimi Keene', 'Iñigo Navarro', 'Kiana Madeira', 'Laura Dutra', 'Louise Lombard', 'Rodrigo Soares', 'Stephen Moyer', 'José Mora Ramos', 'Rob Estes', 'Josephine Langford', 'Arielle Kebbel', 'Benjamin Mascolo', 'Jessica Webber', 'Cora Kirk', 'Niyi Akin', 'Beatriz Ferraz', 'Dylan Sprouse', 'Chance Perdomo', 'Rita Forte', 'Stef Claro', 'Rosa Escoda', 'Anton Kottas', 'Marianne Bittencourt', 'Victoria Paige Watkins', 'Frances Turner', 'Hero Fiennes Tiffin', 'Stephanie Morfreita', 'Ana Ivanova', 'Marcelo Fortuna']"
Guardians of the Galaxy Vol. 3,80.0,"['Science Fiction', 'Adventure', 'Action']","['Diego Ward', 'James Gunn', 'Adriana Leonard', 'Hanna Pak', 'Brandon Morales', 'Judy Greer', 'Autumn Griffin', 'Chukwudi Iwuji', 'Brooklyn Skye Oliver', 'Karen Abercrombie', 'Henry Heffernan', 'Molly C. Quinn', 'Caleb Spillyards', 'Will Gunn', 'Seth Green', 'Murphy Weed', 'Yael Ocasio', 'Candi VandiZandi', 'Rhett Miller', 'Elan Gale', 'Tara Strong', 'Tiffany Smith', 'Linda Cardellini', 'Jasmine Munoz', 'Jennifer Holland', 'Max Bickelhaup', 'Zoe Saldaña', 'Gerardo Davila', 'Jessica Fontaine', 'Reinaldo Faberlle', 'Kai Zen', 'Dane DiLiegro', 'Adelynn Spoon', 'Will Poulter', 'Grace Gunn', 'Natalia Safran', 'Maria Bakalova', 'Sean Gunn', 'Ken Lyle', 'Renae Moneymaker', 'Lloyd Kaufman', 'Darla Delgado', 'Stephen Blackehart', 'Karen Gillan', 'Chris Pratt', 'Elodie Clarke', 'Alexis Hadesty', 'Clare Grant', 'Benjamin Byron Davis', 'Grecia Balboa', 'Bradley Cooper', 'Austin Freeman', 'Joe Daru', 'Asim Chaudhry', 'Gregg Henry', 'Pete Davidson', 'Bonnie Discepolo', 'Dee Bradley Baker', 'Sylvester Stallone', 'Jonathan Fritschi', 'Sarah Alami', 'Amelia Waters', 'Noa Raskin', 'Terence Rosemore', 'Giovannie Cruz', 'Michael Rooker', 'Jonathan Mercedes', 'Baby Dro', 'John William Wright', 'Daniela Melchior', 'Mikaela Hoover', 'Randy Havens', 'Nico Santos', 'Michael Rosenbaum', 'Tara Warren', 'Nathan Fillion', 'Pom Klementieff', 'Jared Leland Gore', 'Vin Diesel', 'Skylar Huntley', 'Kyle Mclean', 'Emery Grilliot', 'Elizabeth Debicki', 'Dave Bautista', 'Christopher Fairbank', 'Sarah Anne', 'Miriam Shor', 'Michelle Civile', 'Scarlett Blum']"
The Little Mermaid,64.80000000000001,"['Adventure', 'Family', 'Fantasy', 'Romance']","['Aaron Bryan', 'John Dagleish', 'Ebony Molina', 'Kajsa Mohammar', 'Kate Thompson', 'Javier Bardem', 'Nathalie Sorrell', 'Bobby Windebank', 'Awkwafina', 'Sasha Watson Lobo', 'Jon-Scott Clark', 'Halle Bailey', 'Cameron Valentina', 'Chanel Mian', 'Art Malik', 'Jonah Hauer-King', 'Russell Balogh', 'Oliver Ravelin', 'Nicole Valverde', 'Chris George', 'Melissa McCarthy', 'Arina Li', 'Sophie Carmen-Jones', 'Ben Hukin', 'Charlotte Wilmott', 'Martina Laird', 'Johnny White', 'Matthew Carver', 'Leon Cooke', 'Erica Stubbs', 'Noma Dumezweni', 'Daveed Diggs', 'Emily Coates', 'Karolina Conchet', 'Craig Stein', 'Jodi Benson', 'Austyn Farrell', 'Cecil Jee', 'Jessica Alexander', 'Jonathan Bishop', 'Adrian Christopher', 'Sienna King', 'Charles Ruhrmund', 'Tarik Frimpong', 'Jacob Tremblay', 'Christopher Fairbank', 'Simone Ashley', 'Yasmin Harrison', 'Julz West', 'Shay Barclay', 'Jude Akuwudike', 'Lorena Andrea', 'Andrew Lyle-Pinnock', 'Ian Oswald']"
