title,user ratings,genres,cast
The Marvels,65.78999999999999,"['Science Fiction', 'Adventure', 'Action']","['Gary Lewis', 'Brie Larson', 'Mohan Kapur', 'Ffion Jolly', 'Alex Hughes', 'Kelsey Grammer', 'Savannah Skinner-Henry', 'Rachel John', 'Kya Garwood', 'Iman Vellani', 'Lashana Lynch', 'Jude Law', 'Akira Akbar', 'Remi Dabiri-McQuaid', 'Annette Bening', 'Park Seo-jun', 'Tessa Thompson', 'Fikayo Ifarajimi', 'Saagar Shaikh', 'Samuel L. Jackson', 'Shardiah Ssagala', 'Cecily Cleeve', 'Hansen Burton', 'Daniel Monteiro', 'Zenobia Shroff', 'Kennedy McCallum-Martin', 'Daniel Ings', 'Leila Farzad', 'Teyonah Parris', 'Hailee Steinfeld', 'Shereen Walker', 'Zawe Ashton', 'Abraham Popoola']"
Transformers: Rise of the Beasts,74.56,"['Action', 'Adventure', 'Science Fiction']","['Michelle Yeoh', 'John DiMaggio', 'Frank Marrs', 'Sean Tucker', 'Peter Cullen', 'Sarah Stiles', 'Ron Perlman', 'Tyler Hall', 'Gloria Cusi', 'Cristo Fernández', 'Dean Scott Vazquez', 'Pete Davidson', ""Sumac T'Ika"", 'Josue Sallo', 'Colman Domingo', 'Peter Dinklage', 'David Sobolov', 'Jay Farrar', 'Michaela Jaé Rodriguez', 'Aidan Devine', 'Dominique Fishback', 'Santusa Cutipa', 'Yesenia Inquillay', 'Tongayi Chirisa', 'Leni Parker', 'Tobe Nwigwe', 'Jason D. Avalos', 'Anthony Ramos', 'Liza Koshy', 'Michael Kelly', 'Lesley Stahl', 'Lucas Huarancca', 'Luna Lauren Velez', 'Luke Jones', 'Mellissa Alvarez', 'Mike Chute', 'Kerwin Jackson', 'Amiel Cayo']"
Spider-Man: Across the Spider-Verse,84.03,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['Ismail Bashey', 'James Pirri', 'Oscar Camacho', 'Daniel Kaluuya', 'Sohm Kapila', 'Andrew Morgado', 'Jorge R. Gutierrez', 'Kathryn Hahn', 'Elizabeth Perkins', 'Peter Sohn', 'Nicole Delaney', 'Jake Johnson', 'Richard Miro', 'Ruth Zalduondo', 'June Christopher', 'Al Rodrigo', 'Phil Lord', 'Denis Leary', 'Andrew Leviton', 'Ziggy Marley', 'Warren Sroka', 'Narender Sood', 'Post Malone', 'Jorma Taccone', 'Mayuri Bhandari', 'Lakshmi Patel', 'Russell Tyre Francis', 'Shea Whigham', 'Kamal Khan', 'Amandla Stenberg', 'Mahershala Ali', 'Oscar Isaac', 'Jason Schwartzman', 'Issa Rae', 'Yuri Lowenthal', 'Freddy Ferrari', 'Stan Sellers', 'Miguel Jiron', 'Erika Scopelli', 'Donald Glover', 'Rez Kempton', 'Kerry Gutierrez', 'Sumit Naig', 'Rita Rani Ahuja', 'Nicolas Cage', 'Andrew Garfield', 'Samantha Bee', 'Cliff Robertson', 'Chrystee Pharris', 'Melissa Sturm', 'Josh Keaton', 'Melanie Duke', 'Dennis Singletary', 'David Michie', 'Juan Pope', 'Andy Samberg', 'Bryan Cranston', 'Angelo Sekou Kouyate', 'Lashana Rodriguez', 'Marabina Jaimes', 'Kimberly Bailey', 'Chris Parnell', 'Eliyas Qureshi', 'Caitlin McKenna', 'Atsuko Okatsuka', 'Tobey Maguire', 'Deepti Gupta', 'Michelle Jubilee Gonzalez', 'J.K. Simmons', 'Ayo Edebiri', 'Nic Novicki', 'Andrea Navedo', 'Lorraine Velez', 'Amanda Troop', 'Cedric L. Williams', 'John Mulaney', 'Greta Lee', 'Luna Lauren Velez', 'Brian Tyree Henry', 'Liam Neeson', 'Jason Linere-White', 'Hailee Steinfeld', 'Eliana A. Perez', 'Mike Rianda', 'Sitara Attaie', 'Sofia Barclay', 'Peggy Lu', 'Pradnya Kuwadekar', 'David Herman', 'Jasper Johannes Andrews', 'Doug Nicholas', 'Jack Quaid', 'Jharrel Jerome', 'Luisa Leschin', 'Marley Ralph', 'Michelle Ruff', 'Gredel Berrios Calladine', 'Jacqueline Pinol', 'Ashley London', 'Lex Lang', 'Sheryl Underwood', 'Sanjay Chandani', 'Rachel Dratch', 'Craig Robinson', ""Shakira Ja'nai Paye"", 'Libby Thomas Dickey', 'Christopher Miller', 'Gordon Ramsay', 'Arthur Ortiz', 'Alfred Molina', 'Kimiko Glenn', 'Jaswant Dev Shrestha', 'Danielle Perez', 'Natalia Castellanos', 'Antonina Lentini', 'Ralph Ineson', 'Taran Killam', 'Karan Soni', 'Juan Pacheco', 'Metro Boomin', 'Deepti Kingra-Mickelsen', 'Shameik Moore', 'Ben Pronsky']"
PAW Patrol: The Mighty Movie,69.27,"['Animation', 'Family', 'Action', 'Science Fiction', 'Comedy']","['Nylan Parthipan', 'North West', 'Kim Kardashian', 'Taraji P. Henson', 'Christian Convery', 'Callum Shoniker', 'Finn Lee-Epp', 'Kristen Bell', 'Marsai Martin', 'Saint West', 'James Marsden', 'Christian Corrao', 'Mckenna Grace', 'Ron Pardo', 'Brice Gonzalez', 'Kim Roberts', 'Lil Rel Howery', 'Luxton Handspiker', 'Chris Rock', 'Alan Kim', 'Serena Williams']"
Retribution,69.83,"['Action', 'Thriller', 'Crime']","['Embeth Davidtz', 'Christian Koerner', 'Luc Etienne', 'Matthew Modine', 'Antonije Stankovic', 'Daniel Grave', 'Arian Moayed', 'Peter Miklusz', 'Lilly Aspell', 'Nedy John Cross', 'Noma Dumezweni', 'Emily Kusche', 'Gerhard Elfers', 'Bernhard Piesk', 'Liam Neeson', 'Luca Márkus', 'Michael S. Ruscheinsky', 'Tine Gerhäeusser', 'Jack Champion']"
Avatar: The Way of Water,76.47999999999999,"['Science Fiction', 'Adventure', 'Action']","['Sam Worthington', 'CCH Pounder', 'Philip Mtambo', 'Michèle Bardollet', 'Duane Evans Jr.', 'Jeremy Irwin', 'Xavier Fagnon', 'Patrick Mancini', 'Marianne Leroux', 'Bailey Bass', 'Luc Boulad', 'Edie Falco', 'Sigourney Weaver', 'Sylvie Genty', 'Anneliese Fromont', 'Ingrid Donnadieu', 'Trinity Bliss', 'Kevin Dorman', 'Jamie Flatters', 'Alexandre Nguyen', 'Scarlett Fernandez', 'Jennifer Stafford', 'Rick Lucas', 'Boris Rehlinger', 'Johnny Alexander', 'Cruz Moir', 'Carmen Levrau', 'Jemaine Clement', 'Chloe Coleman', 'Zoe Saldaña', 'Isaac Te Reina', 'Oscar Douieb', 'Moana Ete', 'Giovanni Ribisi', 'Phil Brown', 'Jim Moore', 'Robert Okumu', 'Britain Dalton', 'Alicia Vela-Bailey', 'Shane Rangi', 'Matt Gerald', 'Jake McLean', 'Jaynelia Coadou', 'Julien Alluguette', 'Sean Anthony Moran', 'Phil Peleton', 'Laurent Maurel', 'Adrien Antoine', 'CJ Jones', 'Ava Diakhaby', 'Jocelyn Christian', 'Eric Farmer', 'Joel David Moore', 'Victor T. Lopez', 'Alex Lucas', 'Ninon Moreau', 'Pierre Boulanger', 'Brendan Cowell', 'Benjamin Hoetjes', 'Andrew Arrabito', 'Cliff Curtis', 'Daniel Lough', 'Nikita Tu Bryant', 'Maria Walker', 'Keston John', 'Stephen Lang', 'Thiéry Dubé', 'Tanya Drewery', 'Damien Witecka', 'Dileep Rao', 'Kim Do', 'Filip Geljo', 'Jamie Landau', 'Anthony Ahern', 'Kate Winslet', 'Jack Champion', 'Mathieu Buscatto', 'Matt Mouredon', 'Joel Tobeck']"
The Nun II,69.15,"['Horror', 'Mystery', 'Thriller']","['Margot Morris', 'Kate Colebrook', 'Storm Reid', 'Margaux Borel', 'Taissa Farmiga', 'Renata Palminiello', 'Peter Hudson', 'Andrew Morgado', 'Margot Bernazzi', 'Aaron-Jon North', 'Fulvia Patrizia Olivieri', 'Viviana Moin', 'Lieve Carchon', 'Anouk Darwin Homewood', ""Léontine d'Oncieu"", 'Philippe Josserand', 'Alexandra Gentil', 'Katelyn Rose Downey', 'Grégory Di Meglio', 'Camille Amiel', 'Suzanne Bertish', 'Bonnie Aarons', 'Maxime Elias-Menet', 'Natalia Safran', 'Vera Farmiga', 'Patrick Wilson', 'Florence Mestais', 'Pascal Aubert', 'Delcho Koprivshki', 'Sarah Pachoud', 'Jonas Bloquet', 'Anna Popplewell', 'Tamar Baruch', 'Paul Spera', 'David Horovitch', 'Gaël Raës']"
Sound of Freedom,80.85000000000001,"['Action', 'Drama']","['Jairo Ordóñez', 'Mira Sorvino', 'José Zúñiga', 'Yessica Borroto Perryman', 'Gustavo Sánchez Parra', 'Lucas Ávila', 'Valerie Domínguez', 'Gerardo Taracena', 'Scott Haze', 'James Quattrochi', 'Javier Godino', 'Manny Pérez', 'Cristal Aparicio', 'Gustavo Angarita Jr.', 'Samuel Livingston', 'Ariel Sierra', 'Kris Avedisian', 'Jaime Newball', 'Eduardo Verástegui', 'Eduardo Gomez Monteverde', 'Bill Camp', 'Jim Caviezel', 'Alejandro Muela', 'Gary Basaraba', 'Kurt Fuller']"
All-Time High,56.25,"['Comedy', 'Romance']","['Ciryl Gane', 'Yousef Ramal', 'Adrien Essamir', 'Hakim Jemili', 'Alexandre Kominek', 'Gustave Kervern', 'Guillaume Canet', 'Hedi Bouchenafa', 'Zoé Marchal', 'Ichem Bougheraba', 'Yovel Lewkowski', 'Kenza Fortas', 'Eric Cullet', 'Paul Deby', 'Panayotis Pascot', 'Adèle Exarchopoulos', 'Nassim Lyes', 'Yassine Stein']"
Wish,68.0,"['Animation', 'Family', 'Fantasy', 'Adventure']","['Woody Buck', 'Victor Garber', 'Natasha Rothwell', 'Nasim Pedrad', 'Ramy Youssef', 'Alan Tudyk', 'Jon Rudnitsky', 'Efé', 'Angelique Cabral', 'Yvette Nicole Brown', 'Keone Young', 'Abraham Sigler', 'James Monroe Iglehart', 'Niko Vargas', 'Della Saba', 'Nicole Lynn Evans', 'Ariana DeBose', 'Lucas Sigler', 'Holland Watkins', 'Heather Matarazzo', 'Chris Pine', 'Jennifer Kumiyama', 'Evan Peters', 'Harvey Guillén']"
