title,user ratings,genres,cast
The Girl with the Dragon Tattoo,73.63000000000001,"['Thriller', 'Crime', 'Mystery']","['Christine Adams', 'Arly Jover', 'Henry Hereford', 'Mathias Palmér', 'Inga Landgré', 'Bengt C.W. Carlsson', 'Alastair Duncan', 'Leah Shaw', 'Donald Sumpter', 'Moa Garpendal', 'Annica Bejhed', 'Jürgen Klein', 'Patrick Holland', 'Laurence Fuller', 'Lennart B. Sandelin', 'Mike Zehr', 'Anders Berg', 'Peter Haber', 'Werner Biermeier', 'Christian Heller', 'Jenifer Brougham', 'Martin Jarvis', 'Rooney Mara', 'Tess Panzer', 'George Gerdes', 'David Dencik', 'Stellan Skarsgård', 'Bengt Wallgren', 'Sandra Andreis', 'Anna Carlson', 'Steven Berkoff', 'Anna Björk', 'Melissa Ciesla', 'Maja Kin', 'Mathilda von Essen', 'Lena Strömdahl', 'Yorick van Wageningen', 'Darri Ingolfsson', 'Reza Dehban', 'Robin Wright', 'Martina Lotun', 'Gustaf Hammarsten', 'Yasmine Vine', 'Anne-Li Norberg', 'Karen E. Wright', 'Jan Abramson', 'Goran Visnjic', 'Anders Jansson', 'Julia Rose', 'Malin Toverud', 'Mats Andersson', 'Geraldine James', 'Joely Richardson', 'Josefin Asplund', 'Per Myrberg', 'Sahlima', 'Julian Sands', 'Joel Kinnaman', 'Yvonne Åstrand', 'Maya Hansson-Bergqvist', 'Peter Hottinger', 'Eva Fritjofson', 'Kalle Josephson', 'Andreas Björklund', 'Simon Reithner', 'Marcus Johansson', 'Leo Bill', 'Embeth Davidtz', 'Daniel Craig', 'Pierre Sjö Östergren', 'Ulf Friberg', 'Marco Albrecht', 'Britt Soderberg', 'Sarah Appelberg', 'Matthew Wolf', 'Fredrik Dolk', 'Alan Dale', 'Mitcho Batalov', 'Ian Kitzmiller', 'Élodie Yung', 'Anna Charlotta Gunnarson', 'Shaun R.L. King', 'Peter Carlberg', 'Amanda Dyar', 'Christopher Maleki', 'Tony Way', 'Joyce Giraud', 'Christopher Plummer']"
Meteor Storm,46.0,"['Science Fiction', 'Adventure', 'TV Movie']","['Jill Morrison', 'Kirsten Zien', 'Lara Gilchrist', 'Brett Dier', 'Kevin McNulty', 'Emily Holmes', 'Carmen Moore', 'Kari Matchett', 'Eric Johnson', 'Michael Trucco']"
Carl's Date,76.24,"['Animation', 'Adventure', 'Family']","['Ed Asner', 'Bob Peterson']"
"Miraculous: Ladybug & Cat Noir, The Movie",78.0,"['Animation', 'Family', 'Fantasy', 'Action', 'Romance']","['Jessie Lambotte', 'Martial Le Minoux', 'Annouck Hautbois', 'Jeanne Chartier', ""Alexandre N'Guyen"", 'Benjamin Bollen', 'Thierry Kazazian', 'Flora Kaprielian', 'Marie Nonnenmacher', 'Fanny Bloc', 'Gilbert Levy', 'Marie Chevalot', 'Franck Tordjman', 'Antoine Tomé']"
Rally Road Racers,75.0,"['Animation', 'Family', 'Comedy']","['Sharon Horgan', 'Naomi McDonald', 'Jimmy O. Yang', 'Raza Jaffrey', 'John Cleese', 'J.K. Simmons', 'Kerry Shale', 'Rebecca Yeo', 'Nick Heath', 'Lisa Lu', 'Chloe Bennet', 'Catherine Tate', 'Alexander Rodriguez']"
Harry Potter and the Prisoner of Azkaban,80.19,"['Adventure', 'Fantasy']","['Lenny Henry', 'Bonnie Wright', 'Jimmy Gardner', 'Josh Herdman', 'David Bradley', 'Dawn French', 'Samantha Clinch', 'Adrian Rawlins', 'Matthew Lewis', 'Peter Best', 'Richard Griffiths', 'Tom Ackerley', 'Ekow Quartey', 'Genevieve Gaunt', 'Robbie Coltrane', 'Devon Murray', 'Daniel Radcliffe', 'Julie Christie', 'Julie Walters', 'Danielle Tabor', 'Freddie Davies', 'Marianne Chase', 'Pam Ferris', 'Geraldine Somerville', 'Tess Bu Cuarón', 'Abby Ford', 'Timothy Spall', 'Harry Melling', 'Rupert Grint', 'Emma Watson', 'Lewis Barnshaw', 'Sharon Sandhu', 'Gary Oldman', 'Robert Hardy', 'Warwick Davis', 'Alfred Enoch', 'Paul Whitehouse', 'Ricky Sahota', 'Ian Brown', 'Mark Williams', 'Fiona Shaw', 'Oliver Phelps', 'Tom Felton', 'Bronson Webb', 'Lee Ingleby', 'Kandice Morris', 'Michael Gambon', 'Chris Rankin', 'David Thewlis', 'Jamie Waylett', 'Maggie Smith', 'Jim Tavaré', 'Violet Columbus', 'James Phelps', 'Sitara Shah', 'Annalisa Bugliani', 'Alan Rickman', 'Emma Thompson', 'Jennifer Smith']"
Sonic the Hedgehog 2,75.53,"['Action', 'Adventure', 'Family', 'Comedy']","['Mike Mitchell', 'Natasha Rothwell', 'Angela Meryl', 'Krista Alvarez', 'Elizabeth Bowen', 'Rhys Williams', 'Colby Chartrand', 'Shemar Moore', 'Brennan Dyson', 'Ben Schwartz', 'Nilo Ghajar', 'Paul Lazenby', 'Shawn Stewart', 'Sook Hexamer', 'Don Lew', 'Melody Nosipho Niemann', 'Mike Rufino', 'Corry Glass', 'Vladimir Ruzich', 'Katie Wright Pere', 'Leif Havdale', 'Alex Bogomolov', 'Shaun Magee', 'Adam Pally', 'Robert Zen Humpage', 'Ashlei Tave', 'Barry Nerling', 'Jim Carrey', 'Kevin Mylrea', 'Marcus Aurelio', 'Maria Ameerali', 'Jason Triplett', 'Yvetta Fisher', 'Parker Rowell-Laferriere', ""Colleen O'Shaughnessey"", 'Keiran Bohay', 'Nito Larioza', 'Jared Khalifa', 'James Marsden', 'Gerald Paetz', 'Adrian Hein', 'Tom Butler', 'Tavita Woodard', 'Kevin Fortin', 'Kyle Riefsnyder', 'Shay Kuebler', 'Tammy Nera', 'Chad Keaulana', 'Eli Olson', 'Quinn Early', 'Andrew Kyrzyk', 'Brad Kalilimoku', 'Ted Barba', 'Vladimir Raiman', 'Mariah Dyson', 'Steve Chang', 'David Jacox', 'Donna Jay Fulks', 'Heath Stevenson', 'Ernie Jackson', 'Doug Chapman', 'Aiden Cass', 'Stanislav Galimkhanov', 'Saida Dyson', 'Simon Chin', 'Scott Patey', 'Lee Majdoub', 'Cheryl Lewis', 'Idris Elba', ""Ha'a Keaulana"", ""Rob 'Sluggo' Boyce"", 'Fraser Corbett', 'Jess Lundgren', 'Jeff Sanca', 'Sarah Surh', 'Johnson Phan', 'Tika Sumpter']"
57 Seconds,57.69,"['Thriller', 'Science Fiction', 'Action']","['Griff Furst', 'Morgan Melder', 'Sammi Rotibi', 'Greg Germann', 'Rusty Cundieff', 'Jennifer Dent', 'Morgan Freeman', 'Jeff Chase', 'Tre Francis', 'Curtis Johnson', 'Bevin Bru', 'Valerie E. Lamb', 'Allen Boudreaux', 'Mary Drew Ahrens', 'Daniel Rivas', 'Josh Hutcherson', 'Thomas P. Vitale', 'Dickson Obahor', 'Lovie Simone', 'Aaron Jay Rome', 'Jaida Standberry', 'Matthew Jayson Cwern', 'David Blane', 'Nirvi Shah', 'Mark Jacobson', 'Lucius Baston', 'Kenneth Kynt Bryan', 'Demitri Lucien', 'Marcus Brown']"
Killers of the Flower Moon,76.94,"['Crime', 'Drama', 'History']","['Ron McMahan', 'Ted Welch', 'Adam Washington', 'Martin Scorsese', 'Jacob Lux', 'Jezy Gray', 'Leonardo DiCaprio', 'Nathalie Standingcloud', 'Vanessa Rose Pham', 'Nicholas White', 'Joey Oglesby', 'Tanner Brantley', 'Norma Jean', 'Easton Wade Yellowfish', 'Anthony J. Harvey', 'Clint Rohr', 'Melissa Tiger', 'JaNae Collins', 'Richard Lookout RulingHisSun', 'Joe Boga', 'Welker White', 'Scott Shepherd', 'Lynette Satepauhoodle', 'Jerry Logsdon', 'Mason Cunningham', 'Desireee Storm Brave', 'Karen Garlitz', 'Tatanka Means', 'Vann Bighorse', 'Brendan Fraser', 'Paul Woodiel', 'Chris Byars', 'Joseph Spinelli', 'Jack White', 'Carl Palmer', 'Tom Ashmore', 'Marc Phaneuf', 'Larry Jack Dotson', 'Dolan Wilson', 'J. C. MacKenzie', 'Wally Welch', 'Danny Frost', 'DJ Whited', 'Alexis Ann', 'Scott George', 'Jenny Paige Lynn', 'Louis Cancelmi', 'Cherylyn Oberly Satepauhoodle', 'Jon-Erik Kellso', 'Gene Jones', 'Ty Mitchell', 'Tracey Ann Moore', 'Lux Britni Malaske', 'Jim Fryer', 'Stephen Berkman', 'Elijah Cemp Ragsdale', 'Joe Chrest', 'Gregory Fallis', 'Delani Chambers', 'Christopher Cote', 'Sam Bardfeld', 'Rob Fisher', 'Alexis Waller', 'Talon Satepauhoodle', 'Matt Tolentino', 'Garrison Panzer', 'Erica Pretty Eagle Moore', 'Randy Houser', 'Angela Toineeta Satepauhoodle', 'Leland Prater', 'Jarad Looper', 'Mark Landon Smith', 'Jesse Plemons', 'Jennifer Moses', 'Elden Henson', 'Brent Langdon', 'Moe Headrick', 'Silas Satepauhoodle', 'Pat Healy', 'Kristin Keith', 'Alexandria Toineeta', 'Penny Potts', 'Tommy Schultz', 'Jo Harvey Allen', 'Harrison Shackelford', 'Mark Lopeman', 'Jacob Johnson', 'Yancey Red Corn', 'Gary S. Pratt', 'Ed Yellowfish', 'Johnny Baier', 'Gary Basaraba', 'Bronson Redeagle', 'Sarah Spurger', 'Barry Corbin', 'Beau Smith', 'Vince Giordano', 'Steve Witting', 'Rayna Gellert', 'Sturgill Simpson', 'John Gibbs', 'Nokosee Fields', 'Elizabeth Waller', 'Reignen Yellowfish', 'Henry Amos Gray', 'Vinny Raniolo', 'Edward Gray Jr.', 'Mary Buss', 'Pete Yorn', 'Jackie Wyatt', 'Peter Reardon-Anderson', 'Norris Bighorse', 'David Born', 'Candice Costello', 'D. Reride Smith', 'Blaine Hall', 'Roanin Davis', 'Victor McCay', 'Peter Yarin', 'Jennifer Rader', 'Nathaniel Arcand', 'Zack T. Morris', 'Kyle Dillingham', 'Wahwastoas J. Jones', 'Anna L. Bighorse', 'Ben Hall', 'Will Reardon-Anderson', 'Jillian Dion', 'Kieran Kane', 'Seth Buckminster', 'Taveah Ann George', 'Lucas Ross', 'Kinsleigh McNac', 'Brett Bower', 'Scott Bighorse', 'Lee Eddy', 'Katherine Willis', 'John Lithgow', 'Steve Routman', 'James Healy Jr.', 'Bravery Nowlin', 'Father Chris Daigle', 'Jerry Wolf', 'Jason Isbell', 'Jay Paulson', 'Kenneth Bighorse Jr.', 'Samuel French', 'Dana Daylight', 'Dolores Marie Goodeagle', 'Mamie Cozad', 'Everett Waller', 'Joel Tallchief Lemon', 'Larry Sellers', 'James Carroll', 'Dobbin Monoessy Knifechief', 'Tantoo Cardinal', 'Marko Costanzo', 'Paul Wells', 'Chance Rush', 'Jessica Harjo', 'Margaret Shannon-Sisk', 'Charlie Musselwhite', 'Margaret Gray', 'Moira Redcorn', 'Zachary Hokeah', 'Samuel Gray', 'James Roman Dailey Jr.', 'John Shaw', 'Edward Gray Sr.', 'Eric Parkinson', 'Marvin E. Stepson Jr.', 'William Belleau', 'David Fields', 'Patrick Bubert', 'Mike Cook', 'John Q. Wilson', 'Steve Eastin', 'Paul Bighorse', 'Andy Stein', 'Justin France', 'Shonagh Smith', 'Jeffrey Stevenson', 'Nick W. Nicholson', 'Mason Bighorse', 'Chase Parker', 'Elisha Pratt', 'TJ Muller', 'Francis Pipestem Jr.', 'Tahlee Redcorn', 'Mahada Sanders', 'Myron F. Red Eagle', 'Addie Roanhorse', 'Gabriel Casdorph', 'Terry Allen', 'Xavier Toehay', 'William Alyn Hill', 'Jeremy Goodvoice', 'Brian Shoop', 'Larry Fessenden', 'Angela Pratt', 'Cara Jade Myers', 'Michael Paul Pahsetopah', 'Michael Abbott Jr.', 'River Rhoades', 'Charisse Satepauhoodle', 'Robert De Niro', 'Lily Gladstone', 'Joshua Close', 'Julia Lookout', 'Christopher Hill']"
Top Gun: Maverick,82.47999999999999,"['Action', 'Drama']","['Tristan Henry', 'Ian Gary', 'Stephanie Andrea Barron', 'Jason Robert Boles', 'Chelsea Harris', 'Manny Jacinto', 'Meg Ryan', 'Glen Powell', 'Shannon Kane', 'Darnell Kirkwood', 'Margaret Strabala', 'Jack Schumacher', 'Austin Bowerman', 'Anthony Edwards', 'Jean Louisa Kelly', 'Monica Barbaro', 'Whylip Lee', 'Chaz Ingram', 'Lyliana Wray', 'Rachel Winfree', 'Jake Picking', 'Jon Hamm', 'Peter Mark Kendall', 'Ryan Heilmann', 'Ed Harris', 'Jennifer Connelly', 'Bashir Salahuddin', 'Miles Teller', 'Val Kilmer', 'Alec Williams', 'Shantel Limbo', 'Lewis Pullman', 'Greg Tarzan Davis', 'Bob Stephenson', 'Kelly McGillis', 'Danny Ramirez', 'Rachael Markarian', 'Charles Parnell', 'Landon Gordon', 'Kara Wang', 'James Handy', 'Norman Ralph Eliasen', 'Jay Ellis', 'Raymond Lee', 'Tom Cruise', 'Brian Ferguson', 'Chido Nwokocha']"
